period,client_unique_id,entity_unique_id,account_unique_id,currency,account_open_date,account_close_date,region,days_in_month,fx_rate,deposits_cad,nii_cad,odi_cad,payment_revenue_cad,service_revenue_cad,total_revenue
11/1/2020,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,30,1,6397.86,3.05,0.00,2021.00,88.00,2112.05
12/1/2020,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,31,1,24029.13,25.19,0.00,2516.00,138.00,2679.19
1/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,31,1,30212.3,11.06,0.00,1523.00,88.00,1622.06
2/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,28,1,12999.68,4.40,0.00,1605.00,110.00,1719.40
3/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,31,1,4228.73,1.52,0.00,2298.00,91.00,2390.52
4/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,30,1,108328.48,36.80,0.00,1980.00,94.00,2110.80
5/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,31,1,7893.62,2.79,0.00,2280.00,88.00,2370.79
6/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,30,1,9597.98,4.98,0.00,1961.00,116.00,2081.98
7/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,31,1,15255.21,5.54,0.00,2287.00,116.00,2408.54
8/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,31,1,56221.66,22.11,0.00,1868.00,116.00,2006.11
9/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,30,1,33858.76,16.47,0.00,2483.00,113.00,2612.47
10/1/2021,AA0001,BB0001,CC00001,CAD,4/2/2020,,Asia Pacific,31,1,8005.14,3.73,0.00,2146.00,116.00,2265.73
11/1/2020,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,30,1,1303442.62,502.19,0.00,220.00,63.00,785.19
12/1/2020,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,31,1,1108289.46,438.27,0.00,264.00,63.00,765.27
1/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,31,1,1041895.44,379.51,0.00,163.00,63.00,605.51
2/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,28,1,1462327.07,468.75,0.00,194.00,60.00,722.75
3/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,31,1,1032224.2,365.87,0.00,246.00,66.00,677.87
4/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,30,1,1512630.15,512.84,0.00,216.00,69.00,797.84
5/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,31,1,965466.22,337.42,0.00,227.00,563.00,1127.42
6/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,30,1,1904288.58,644.98,0.00,194.00,66.00,904.98
7/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,31,1,3361708.15,1184.77,0.00,230.00,66.00,1480.77
8/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,31,1,2140555.23,762.39,0.00,271.00,66.00,1099.39
9/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,30,1,2339619.33,822.87,0.00,235.00,63.00,1120.87
10/1/2021,AA0002,BB0002,CC00002,CAD,3/22/2018,,Asia Pacific,31,1,1963930.73,713.61,0.00,312.00,66.00,1091.61
11/1/2020,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,30,1,60289.11,23.23,0.00,37.00,49.00,109.23
12/1/2020,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,31,1,67468.67,26.68,0.00,62.00,47.00,135.68
1/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,31,1,127187.06,46.33,0.00,11.00,41.00,98.33
2/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,28,1,139285.02,44.65,0.00,17.00,42.00,103.65
3/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,31,1,90356.58,32.03,0.00,29.00,47.00,108.03
4/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,30,1,59811.87,20.28,0.00,25.00,47.00,92.28
5/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,31,1,55644.12,19.45,0.00,29.00,48.00,96.45
6/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,30,1,189646.61,64.23,0.00,31.00,51.00,146.23
7/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,31,1,465043.13,163.90,0.00,1.00,38.00,202.90
8/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,31,1,895288.45,318.87,0.00,11.00,35.00,364.87
9/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,30,1,30636.53,10.78,0.00,6.00,29.00,45.78
10/1/2021,AA0003,BB0003,CC00003,CAD,8/7/2021,,Asia Pacific,31,1,85756.5,31.16,0.00,6.00,41.00,78.16
11/1/2020,AA0003,BB0004,CC00004,CAD,5/12/2019,,Asia Pacific,30,1,4815471.14,1855.29,0.00,2406.00,129.00,4390.29
